指标名称,美元指数:月:平均值,期货结算价(连续):布伦特原油:月:平均值
2000-08,111.1713043,30.22545455
2000-09,114.2414286,32.33047619
2000-10,116.0686364,31.38590909
2000-11,116.4831818,32.38227273
2000-12,112.6465,25.97
2001-01,110.1327273,25.83909091
2001-02,111.8415,27.6345
2001-03,113.9272727,25.44863636
2001-04,115.477,26.39578947
2001-05,116.7882609,28.58238095
2001-06,118.9390476,27.8647619
2001-07,118.4354545,25.21772727
2001-08,114.3952174,25.75818182
2001-09,113.3183333,26.1305
2001-10,114.196087,21.47347826
2001-11,115.9995455,19.20727273
2001-12,116.297619,19.06210526
2002-01,117.77,19.93181818
2002-02,118.9645,20.3175
2002-03,117.9547619,24.164
2002-04,116.8840909,25.99380952
2002-05,113.3826087,25.67454545
2002-06,109.586,24.61388889
2002-07,105.956087,25.68086957
2002-08,107.3695455,26.3547619
2002-09,107.2657143,28.29047619
2002-10,107.5221739,27.35826087
2002-11,105.6742857,24.2647619
2002-12,104.1854545,27.479
2003-01,100.8204545,30.33909091
2003-02,99.893,32.1775
2003-03,99.74809524,29.56047619
2003-04,99.39909091,24.7535
2003-05,94.43571429,25.455
2003-06,93.53809524,27.28857143
2003-07,95.63695652,28.36434783
2003-08,97.23285714,29.443
2003-09,95.81909091,26.80727273
2003-10,92.07608696,28.97086957
2003-11,91.8805,28.8065
2003-12,88.36782609,29.61714286
2004-01,86.43,30.66285714
2004-02,86.3475,30.3435
2004-03,88.45782609,32.73173913
2004-04,89.79954545,32.9765
2004-05,90.47285714,37.19789474
2004-06,89.155,35.51090909
2004-07,88.32909091,37.66727273
2004-08,88.86454545,41.75285714
2004-09,88.65590909,42.85590909
2004-10,86.87047619,49.37619048
2004-11,83.56863636,44.56590909
2004-12,81.5773913,40.27857143
2005-01,83.12285714,44.483
2005-02,83.721,45.8645
2005-03,82.8926087,53.27285714
2005-04,84.25666667,53.30714286
2005-05,85.68409091,49.674
2005-06,88.43681818,55.41636364
2005-07,89.69904762,57.94666667
2005-08,87.93478261,63.8
2005-09,87.99545455,63.79954545
2005-10,89.70285714,59.49952381
2005-11,91.49727273,56.225
2005-12,90.92181818,57.63142857
2006-01,89.13363636,63.85761905
2006-02,90.3445,61.142
2006-03,89.96086957,63.02869565
2006-04,88.4565,70.53947368
2006-05,84.88521739,70.98318182
2006-06,85.76772727,69.77863636
2006-07,85.86857143,74.26047619
2006-08,85.06869565,73.90173913
2006-09,85.58904762,63.63952381
2006-10,86.35181818,59.83863636
2006-11,84.84681818,59.86136364
2006-12,83.39047619,62.2865
2007-01,84.78727273,54.62727273
2007-02,84.3885,58.804
2007-03,83.48363636,62.455
2007-04,82.17619048,67.5985
2007-05,82.13173913,67.86043478
2007-06,82.46904762,70.53857143
2007-07,80.80545455,75.81772727
2007-08,80.95782609,71.24347826
2007-09,79.3814,76.963
2007-10,77.82926087,82.47521739
2007-11,75.65618182,92.20409091
2007-12,76.7912381,91.443
2008-01,75.98409091,91.91454545
2008-02,75.63957143,94.6647619
2008-03,72.43242857,102.8665
2008-04,72.10572727,110.4295455
2008-05,72.89090909,124.6813636
2008-06,73.19047619,133.7438095
2008-07,72.50434783,134.5647826
2008-08,76.06047619,115.2361905
2008-09,78.21636364,100.785
