指标名称,M2,美国:M2,欧元区:M2,日本:货币供应量:平均余额:M2
1981-05,,"1,655.40","1,216,320.00",
1981-04,,"1,664.50","1,201,981.00",
1981-03,,"1,633.20","1,195,068.00",
1981-02,,"1,610.50","1,191,439.00",
1981-01,,"1,610.60","1,185,788.00",
1980-12,,"1,604.80","1,198,035.00",
1980-11,,"1,599.00","1,154,240.00",
1980-10,,"1,588.50","1,128,916.00",
1980-09,,"1,573.10","1,124,085.00",
1980-08,,"1,560.70","1,117,515.00",
1980-07,,"1,549.10","1,117,561.00",
1980-06,,"1,527.40","1,112,044.00",
1980-05,,"1,504.20","1,097,620.00",
1980-04,,"1,507.70","1,092,061.00",
